Sentence,Neutral (N) / Hostile (H)
hogayiii chutiye ki kutee wali hahaha,H
Maa chod di iski bhaiya g aapny,H
Intehi thandi video thi,N
Wah aik chutiya dosray chutiye ko roast kar raha hai,H
maa baap zinda hon to unki khidmat karo,N
Beta tum se na ho payega ek hi content ki maa chod rhe ho,H
bhai ye donon hi foj k lund hn,H
Yara bc kya ho gya he teri vedios me mza hi nai ata,H
Bahi aap pak sy hain kya shakal sy indian lagty hain,N
Shakal bhi kutto wali hai or baten bhi,H
Bawa g full bakwass esi khushi ma apko lora enam ma diya jta hai,H
khush hoja salay chhotii mongfali jesay tra muhh ha,H
1 dum farigh video bnai ha new bnaa ly ye to bilkul e farigh 1 dum taatti,N
Bhai tere reactions gand phar hotay hn,H
Ducky ny kab roast bnya tum par,N
Roast acha kya but ducky bhai jab teri mary ga main us vedio k intezar mn ho,H
Jiss ko roast kiya ha wo b thanda ha aur jiss nay roast kiya ha us nay us say zayada thand chorrii h,N
pakistani bakri chod hoty hn,H
O bhai pehle jao hath mun dholo phr ja kr ducky bhai ko roast krna,N
Bc chu katne k bad tatoon k darmian jo ik bal reh jata hai us bal k jesi shkal hai teri bund muyaa,H
Chotiyoo ke kami nhi ab ye kam is jesy chotiyo ny start krdia hy,H
tujh mei or alex bhatti koi farak nhi hai,N
bhai mere ducky ne baghair tel k chodna tujhe,H
26 january ko khalistani kutty bohut zyada khush ho rhy thy,H
india mein sikh community per jokes bnaye jaty hein,H
indian qoum ko achi tarah pta hai k wo kafi phattu hai,H
jesy indian nachnay ganay mn achy hein wesy hi pakistani pharnay mn achay hn,H
itni share kro ye video k un pakistanion ki gand mein var jaye,H
hindu bhaiyo sher bano aur jawab do,N
is bndy ne sakoon se bethy bethy socha kyun na main apni baji pesh kr dun,H
main tiktok ka roast krna tb tk nai chorun ga jb tk tiktok se chutyapanti khatam nai ho jati,H
na is desh mn tiktokers ki kami hai aur na chutyon ki,H
wesy b us bharwy ki videos yahan koi nai dekhta,H
"Ese na kia kro, inko bhetne mai masla hoga",N
Shukar he ducky ne allow kar dia warna aba teri kher nai thi,N
eik dafa phir mjy chod do,H
Ek chutiye ki wajah se poore mulk ko gaali ni de skte,H
yahan tmhari barabri gaand maranay chali jati hai kia,H
main itna pagal nai hun k eik makhsoos awara kutty ki wajah se pury mulk ko hi ghalt bol dun,H
Teri bhen ka khasam ha ducky gandu,H
Bencho thand lag rhi hy ye kia bawasir bana diye ho loruu,H
Maza nh aya wese,N
Ducky ny tujhy rost kia to teri choti si gand pht jay gi bekar choi,H
waseem bhai aap khush hoty hn to main b khush hota hun,N
kuch randi k bachy fghani hn jo paistan k khilaf bhonk rahy hn,H
afghani namak haram kutty kabi apni harkaton se baz nai aa skty,H
afghani sirf logon k boot chatnay k liay paida hoty hn,H
jhonny bhai yehi launda ha bs jisko uper walay nay extra shaktian de di han baki kisi ki oqaat ni ha,N
apko rota dekh kr main b ro para,N
bharti aur afghani bhai bhai hein,N
afghan jalebi garam garam khanay ka alag hi maza hai,N
garam afghan jalebi ki bund marny ka b alag hi maza hai,H
pathanon ki bachian bari chokas hoti hein,N
chokas to teri baji b hai shory,H
tumhari gaand mn chaloonay kaat rahy hn kia,H
ye sab tumhari loyalty ka inaam hai,N
overacting ki bori ha areeka baji,N
mehnat sirf gadha karta hai aur wo mehnat gadhy ko ghora nahi bna skti,N
Bc next video Naseebo lal pr bna do,H
Ye video achi thi but like her video ko he kartay hen tumhari,N
Ab Jannat Mirza bsdwali pa bhe banao video,H
Ye Pehli Video Hogi Jo Mene Bagair Headphones Ky Dekhi,N
Khuda ki qsam tm wig laga k ziada ache lg rhe ho us gadhe ki gand se,H
"Bhai tou bohut oper jayega, bata reyaa hun mein",N
Ye tik toker chutiya he sare boss sahi baja rahe ho tm sbki lage raho munna bhai hm tmhare sath he,H
tiktok waley khusron se tumhara koi muqabla nai bhai,H
youtubers hijray hamen bura bhala kehty hein,H
youtubers sirf paisay k liay awam ko chutya bnaty hn,H
agr youtube aur tiktok ki bat hai to tiktok waly zyada talented hn,N
youtube waly tiktok se hi content chori krty hn,N
yr jtna bhi dukh ho gam ho sad ho per tumri video dekho tw face per alag hi khushi aajati ha,N
Allah Pak apko khush rakhy or tarakii dein ameen,N
Bro yeh tiktokers nhe hote tw abhe tk tmhara career ghubaray wale se liye glasses phen kr tatti bolne pr khtm hojata,N
Bsdk khud ko famous krne k lye lund khate rehte ho bss,H
Tum toh bary gandu nikly hamari areeka ko bura mat kaho,H
To phudi k is tara tu gand marwany social media pr aaya ha,H
tu pahly apni motivational speech thek kr,N
Tu b to dosro pr videos bna k subscribers or followers laa raha ha,N
hindustani bhao ko chodna he ab,H
Oo bhosri waly ab tk sab thek tha lekin ya chawal tuna sai nhe mari phuddu,H
Hr ksi ki apni mhnt ha kese b famous ho tu lunddd nh kha ksi ka,H
bhai is pe toh ek or roast hona chaiye makeup ki dokan hy ye,N
ye insta pe live aa ky hamary insta ka kachra krti hy ye,N
Thook lga k chod dia bhai ne tou is ko,H
sb choron ka safaya ho jaye ga,N
Beshak Izzat denay wali zaat Allah ki hai,N
ye ab mera doosra roop dekhen gy,N
maryam ka papa aye ga aur pehly tmhen rulaye ga,N
bhaiya mere muh se ghalti se gali nikal gai,N
saly tu hi sabse bara panoti hai,N
madrassy zakat k bghair b chal sakty hn,N
mera seyasat ma aany ka maqsad ghurbat ka khatma krna hai,N
Awaaz tu awaaz shakal bhi daniya podine jesy ha,H
teri crush k bare me kia sun raha hn me,N
Achi misaal di hai,N
Bht harami payee gye ho,H
Bencho ab koi ni bch skta,H
yara tm ho kaha k yee to batao,N
Are bahnchod itna taiz kaisay bol leta hai,H
kambal to pakra pencho,H
attention hasil krny ka ye acha tareeqa hai,N
faisalabad mein bhe yehi sab hota hai,N
Bohat manhoos ho bhaiyaa,H
ye bnda bara bakchod hai kasmy,H
awaz ni on krskti thi pr smjh mjy phr b sb ara tha,N
jani inki asy hi bjate raho or humain hastay raho,N
Roasting k badshah ho kasam sy,N
Jub b mood off ho is ki videos sy thk ho jata hai,N
Yr apki video dekh k sary din ki tension door ho jati h qsm sy,N
Wah sher wah dil khush kardia laage raho,N
Bhai Ali Hyderabadi ko bhi line pe lao,N
"O jaa tere mun ch lun, apna munh dekha tune bsdk dosron ko roast karta hai",H
laory nak tera enj jevein saoda mera ay,H
Bhai mujhe teri koi bhi video pasand nhn ai lekin yeh bht bomb thi,N
Kch log iski trhan he hoty hen bht bolty hen krne me phat jati hei,H
Sharm ani chahiye is language k liye tum kon sa idr dars dy rhy ho,N
ye gashti ki bachi sialkot mein rehti hai,H
abhi to hm gaandu hyn ek zamana tha jab log humy lodu bh bulaty thy,H
pakistan hamarey mulk mein ghus k hamari army ki maa chod rha hai,H
jis ne paida kia usi k sath bakchodi,H
amir bhai khud bht bary bakchod hn,H
amir bhai jan mangy gy jan dein aur gand mangen gy to gand b dein gy,H
chappal kahan hai meri penchod,H
main apki tarah ghatya aur beghairat nahi hun,H
chal hut bhosrike,H
izzat se jeeny ka aur kisi bharwy se nai darny ka,H
jo aagy bharny se roky uski maa chod do,H
modi ki maa chudnay ka waqt hua chahta hai,H
mexicans ki maa chodnay ki zrurat hai,H
sary nashai charsi paye jaty hn mexico mn,H
russians kutti k bachy har jagah drugs supply krty hn,H
dunya mein kai lory dekhy hein lekin tery jesa sulemani lora kabi nai dekha,H
aa gaye bhenchod,H
laro penchod,H
madarchod tmy smjhany ka faida hi koi nai hai,H
mou mai le lund mujhe chodna mut sikha,H
apny bhai ki tarah inka b passion hai sangeet ki gaand marna,H
sara qismat ka khaa ry ho bhenchod,H
oye cacha chadhary k chothy chody eik jhapar pary ga tjy,H
ye loru jb dosron se nai lar rhy hoty to aapas mn larty hn,H
isne apna lund chor k baqi sab dikha rakha hai,H
yahan se lora phenk k maru ga na to aar paar ho jaye ga,H
pehli bar dekh rha hun eik saand kutty jesa bartao kr rha hai,H
"eik bara a gate hoga aur 2 bary bary tattay bny hongy, tmy wahan jana hai",H
ye chaman chutye saib aur santron pe lar rahy hn,H
voting is cheez k liay nai ho rahi k sb se bara kon hai balke voting is cheez k liay ho rahi hai k sb se chutya kon hai,H
big boss ma tmy sb se zyada footage khanay k liye chootya harkte hi krni pary gi,H
shuru karo bina kisi bakchodi ke,H
kuch log bht khubsurat madarchod hoty hen,H
agr sarfraz madarchodi na dikhata to jeet quetta ki thi,H
shadi se inkar per larki ko zehreela mashroob pila dia gya,H
kyun tu bund deni ae?,H
ja kutia ab to jan chor de meri,H
lun leni k mera kam b kr dy ab,H
yar kisi ne bund leni hai to rabta karay,H
Baap Bhi Baghairat tha to Baita bhi Baghairat hi ho ga,H
corona ne awam ki bund leni ki hui hai,H
wazeer sirf imran ka lun choostay rehtay hein,H
bharwa apni kahi baat ki nafi kr gya,H
senate main kis kis ne bund marai hai jald pta la jaye ga,H
haar chor gilani lifafa sahfton k naye abu muntakhib,H
Aese jamhooriat pe lanat,H
yeh lahori BC hei,H
Tere paida hone per lanat,H
lanat hai channel aur sarkar ki ghatiya soch par,H
Kch to sharm kro dalaaalo,H
india k heroes per lanat bhej kr share karen,H
PTV per Ertugul laga hua hai aur mulk mein Mirzapur chal raha hai,N
opposition ne hakumat ki maa ko lun de dia hai,H
kisi ne socha b nai tha k hakumat aisy chud jaye gi,H
hakumat k apny logon ne voting mai bund marai hai,H
vote aur awam ki gaand mari gai hai ye,H
sindhi kutto ne apni bund dikhai hai yahan pe,H
sindhi bikao qom hai,H
sindhi apni baji pesh na krty to aaj hum kamyab hotay,H
punjabyo ki aqal khotay khaa k khatam ho chuki hai,H
toh kisi khoti k bchy carona k symptom after 7 to 8 days bad e samny aty hein,H
dehshatgardi ko musalmanon k sath jorna zyadti hai,N
baap ne ghairat ke naam per beti ka ser qalam ker deya,H
youthiye kutty k bachay hein,H
patwari khoti k bachay hein,H
hath mai kuch nahi hai to mera lun pakar le,H
saqib nisar haramkhor hai,H
Aisa koi madarchod rakhte hi nahi jo Khan ko blackmail kar sake,H
ajeeb randi khana khola hua hai bey,H
leli randi ki to leli,H
randi olado tum ne kab talvar chalai hai madorchod teri maa ki choot maru bosrike,H
bharwe masjid mae hoon main,H
israel ki maa chudnay ka waqt hua chahta hai,H
israeli hain hi kutti k bachay,H
maa chod dun ga israel ki,H
"yahoodion ko chorna ho nai chahey tha, sab ko khatam kr dena chahey tha hitler ko",H
yahoodi hotay hi kanjar hein,H
yahoodi ho aur kanjari ka bacha na ho aisa ho nai sakta,H
falasteen ki bund phar di hai yahoodi foj ne,H
amreeka aur israel donon maa k loray hain,H
hamas k missile girtay hi yahoodiyon ki maa chud gai,H
sikhon ki gand mai danda dia hua hai hakumat ne,H
sikhon ki bund marna akhir kab band hoga,H
khalistan ka naara laganay walay aatankwadi hen,H
khalistani kutto ko pani b nai milna chaheye,H
azadi mangnay walon ki bund ma tracking chip laga do,H
bangali bari leechar qom hai,H
"cheeni kuttay billi ko bhi nai chortay, wo bhi khaa jatay hain",N
isreali chutye apny aap ko khuda samajh bethy hen,H
canada mai dehshatgard ne pakistani khandan k 4 afraad ko truck se rond dala,H
canada mai bhi islamophobia tezi se phail raha ha,H
maghrib mn islam se nafrat sikhai ja rahi hai,H
lahore mei eik shakhs ne khatoon per tezab phenk dia,H
aurat march mein sb ghtya aurten shamil hoti hen,H
aurat march walon per tezab phenka jaye,H
canada mn marny walon ka jurm sirf ye tha k wo musalman thay,H
islami jihadion ne nigeria mai darjanon logon ko firing kr k halaak ker diya,H
muslamanon per truck charhanay wala truck driver yahoodi tha,H
musalman ho aur jihadi kutta na ho ye ho nahi sakta ,H
mulla ho aur bachon ko chodta na ho ye ho nahi sakta,H
canadian ho aur ehmaq na ho ye ho nahi sakta,H
amreeki ho aur nasal parast na ho ye ho nahi sakta,H
habshi ho aur kutto ki tarah khata na ho ye ho nahi sakta,H
afreeki ho aur bully kuttay jesa na lagta ho ye ho nahi sakta,H
amreeki aurat ho aur randi na ho ye ho nahi sakta,H
mexican ho aur drug supplier na ho ye ho nahi sakta,H
bangali ho aur matlabi na ho ye ho nahi sakta,H
australian ho aur gandi nasal ka na ho ye ho nahi sakta,H
gand na mara aur kam ker apna,H
falasteeni maa chudany se baaz ayen to aman ho na wahan,H
"trump bhi bara gandu ka bacha tha, sb mexicans ki maa chod gaya",H
kuch americans ki fitrat mein gaand marana hota hai,H
"bhonk ku raha ha kutte k pillay, chal phut yaha se",H
hijron ki foj hai nepal ki,H
randion ki bachay hn thailand walay,H
pakistan mein aqleyaton ko shugal melay ma maar dia jata hai,H
apnay baap ki mehangai ka b zikar kar ab yahoodi khan k supporter,H
randi ki olado tumne kab kab talvar chalai hai madorchodo,H
teri maa ki choot maru bosdike,H
"meri teacher bohut sexy hai, uske mammy choosnay hein kisi din",H
bharwe masjid mae hoon mae,H
yahan to world war ho rha hai bhenchod wah,H
tu banda nahi hijra hai bc,H
matlab pura kr k sb chor dety hn isliay sab bhenchod hain,H
bhonkta reh maderchod,H
alisa means randi in urdu,H
aj kal ki randiyan bht khully aam dhamkiya deti hain wah kiya zamana gaya hai,H
tum sirf bharwe ho,H
dikha dii na apni oqat galii nikal k kisi kutti maa k bachy,H
saaly qasoor tera nahi tera maa ka hai jo teri dafa highway pr tangy khol k lyti thi aur hr ata jata chod k jata tha phr tuj jasa gandu paida hoa,H
madarchod tu to halala ki paidaish hai,H
bc sary pakistani political leaders chutiya banaty hy awam ko bas gareeb k lye kuch v nai,H
Bhai pagal ho ya chutiya ho ap,H
mard hota hi bhenchod hai,H
jannat mirza chootya aurat hai,H
tum mard salay eik number k kuttey hotay ho,H
larkiyun ki respect kiya karo bhenchodo,H
lo g aunty ka randi rona suru ho gya hai,H
haan main wapas teri maa ka mujra dekhne aya tha bharwey,H
afgani hoty hi sab se baray harami hain,H
lund le k gand bhi marwa le gaddar bsdk randi k bache,H
ajeeb maha chutiya banda hai tu wesy,H
chodnay ka waqt ho gaya hai bhenchod,H
mujhey b le jata harami,H
teray kehny pe main maa baap kou chor dun? teri is he baat pe teri maa na chod doun,H
tu ne population barha di hai bhenchod,H
tiktok k khusron ko koi mou nahi lagata,H
tiktok k khusray apni nasal nahi barha saktey,H
tiktok k khusron ki bund maro to aagy se paisy mangtay hain,H
tiktok k bondi sastay rates mai dasteyab hain,H
tiktokers ki mujra ker ker k bund bari ho rahi hai,H
tiktok walay londay mard nahi rehtay,H
hijray aur tiktoker mein koi farq nahi,H
jab do baray bat ker rhy hon to beech ma gaand maranay ki zarurat nai,H
teri bhen ko chodne wale hain ye sab,H
phudi ky mjy unblock kar,H
lanat hy teri agli pichli tweet pe or tum pe or qadyanion pe b,H
teri maa ki kuss bharwey ye kiya bakwas ki hai tu ne,H
tu do kori ki randi hai,H
tu madarchod hai hi randi,H
bhenchod facebook se dp chura liya mera gandu,H
besharm insaan kia apni maa ky sath bhi is tarah baat krta hai?,H
tatti se yaad aaya teri ammi theek hai halala ki aulaad,H
ye gashti ke bachay bs pakistan dushmani me he bhonk sakte hain,H
"ye sali anil ki rakhail hai, randi hai sali",H
ye randiyan desh mein gand hi phailati hain inko aisi saza do ke inki pushte yaad krein,H
abe dalli sasti randiyo ki sodaagar,H
ye free me chodna chahta hai bhosari wala,H
kahan se aaty hain aisy namoonay BC,H
kisi sasti tawaif k najaez buchay,H
mera laura choos le yahoodi,H
teri ama ko qabar se nikal k uske bund marni ha ma ne,H
teri maa afghaniyon se bun kyun marati thi?,H
neepali kanjarian aaj kal berozgar hain,H
mery lund ki sawari na ker bc,H
abbay buddhay ye teray baap ki jaageer hai ya maa ki raato ki kamai hai?,H
mujhay apna randi pana na dikha,H
hareem shah to high standard ki gashti hai,H
main sochta hun angrezan phuddi kesi hoti hogi,H
daant se biscuits toot nhi rahay aur gand se akhrot torne chala hai bc,H
meri pics delete mat kar dena madarchod,H
sab such bta dia to inki gand  phat jani hai,H
gashti ki bachi pehlay parh phir bhonk,H
o kisi saudi wahabi ki najayez aulaad bata poori dunya mein terrorism wahabis nay kia ya shia nay?,H
tumari baat bata rahi tum ya kissi qadiyani khanzeer ya yahoodi k bachy ho,H
sirf 1 momin aya to ye yahoodi kum nasal marny lag gaye,H
un sab bc ko beech chorahe par nanga karke zinda jalana chaiye,H
nazar na lagay tujhey bhosrike,H
chootia si video bana k inko mazy sooj rahy hain,H
tujhy apnay gashti pan ki qasam sara ki video leak kar,H
tu modi ke gand hi chaat saale,H
tu to ahmadi kutta nikla,H
khuda maut de tjhe bharwe! lash bhi na milay teri chotiay,H
mai baja dungi in bhenchodo ki,H
deepika padukone ka to pata nahi lekin tu to ek number ki randi ki tarah behave kar rahi h aaj kal,H
wife kab banayega bc,H
kuttay ki maut maro tum sab jis jis ney ek baap say uska beta cheena hai,H
bhenchod delete krna parega aaj kal yuhi report maar dete log,H
"teray jesi ghatia aurat ke mun se ye bat achi ni lagti, logon ko garam karnay wali machine",H
yahoodi loray jesy hoty hein,H
haan teri phudi ki peyaas nhi bhujti naw gashti,H
aur hum log tumhari maa chod denge,H
teri kya maa chod di indians ne bhadwi quom ki gandi nasal,H
ye harami sirf ghq ko khoosh kerne k liye bonkta hai,H
saale pakistani bhadve teri randi maa ko chod dunga,H
bharwe ganjy k dalal,H
teri aur tary harami shaikh rasheed ki ma ki choot main pury pakistan ka lun,H
imran khan mera sohna yahoodi leader,H
uski ma behn ak kar dete he sali bhenchod ki,H
be auqaata hai ye choora changar yahoodi nachne wali afgani ka bucha,H
randi k haath mulki bayania aa geya,H
lavde sale gandu tere ko kuch pata hai bahanchod kia chal raha hai idhar,H
mere pas tum ho ny to puray saal ka rula dia bhenchod,H
beghairat pakistani hijra,H
paise ke chakar mai randi bn gaye ho,H
chudwa ke paise mile hai to kharch to karegi randi,H
bc aisa kya bol dia maine,H
pahle khud ki shakal dekh aaine me sale meetha lal charsi,H
ye qoum k bachay nhi hawas ke pujaari hai bharwe,H
kisi kutti k bachy taxi ki olaad kuch shrm kr bc insan,H
ye bharwe t20 khel rhy hain ya test match,H
pakistani larkiyon ki feminism ki bhen ko chod dia bc,H
tere pakistan ki to maa ko sare world ne choda bhenchod india ke bache chup,H
are baggey itna ganda hai tu tujhe dekh ke to kutya bhi na ah ah kare,H
laanat ho tere moo pe yazeed ki olad,H
chup kar bharwe,H
yar tum kesi rundi aurat ho,H
tumhari maa ki kuss bhenchod,H
waise is wajah se aap lanat k haqdar bante hain,H
bhenchod kahan phass gaya hoon,H
tumhare gand me danda dal k muh se nikal denge mc deshdrohi kahi ka bhag suar pakistani,H
bc tm logo ka dimagh gnda to mera kia kasur ,H
"randi k bachay tweet karna band kar, khinzeer ki olaad, kaafir",H
jani na shor na sharaba or randi ka shoq bhe pura hojaye ga,H
kanjar ka bacha ye do alag alag jahaz ki pics hain bharwaa rundi ki aoulad,H
yahoodi mulk jisey israel ka naam diya gaya najaiz hai aur yahoodi sabse baray dahshatgard hain,H
bhenchodo har waqt negativity ko hi highlight kia karo news me,H
vasay tha to ghatya admi sabit be kar deya kay yahoodi agent ha kamena,H
70 saal ka mard is better than a 30 year old hijra,H
